,,1,1,1,0.1,0.1,0.1,0.01,0.01,0.01,0.001,0.001,0.001,0.0001,0.0001,0.0001
features,samples,it,gap,time,it,gap,time,it,gap,time,it,gap,time,it,gap,time
10,200,8.07E+01,2.30E-05,3.49E-01,3.80E+01,1.72E-04,2.12E-01,4.02E+01,3.53E-03,2.12E-01,4.01E+01,3.53E-03,2.23E-01,4.01E+01,3.53E-03,2.48E-01
50,200,4.70E+01,7.99E-06,2.52E-01,3.51E+01,3.22E-05,2.37E-01,3.44E+01,4.94E-05,2.32E-01,3.45E+01,4.94E-05,2.39E-01,3.45E+01,4.94E-05,2.51E-01
100,100,1.71E+01,1.15E-07,8.60E-02,1.98E+01,2.26E-06,8.31E-02,1.93E+01,2.84E-06,7.30E-02,1.93E+01,2.84E-06,7.25E-02,1.93E+01,2.84E-06,7.38E-02
100,500,5.91E+01,5.83E-06,1.55E+00,3.74E+01,5.62E-05,1.55E+00,3.99E+01,3.69E-04,1.52E+00,4.02E+01,3.69E-04,1.62E+00,4.02E+01,3.69E-04,1.50E+00
200,500,3.60E+01,1.38E-06,1.24E+00,3.06E+01,1.21E-05,9.25E-01,3.33E+01,2.31E-01,8.32E-01,3.33E+01,2.32E-01,8.24E-01,3.33E+01,2.32E-01,8.99E-01
300,1000,4.55E+01,1.30E-06,4.65E+00,3.52E+01,2.38E-06,4.48E+00,3.52E+01,1.97E-05,4.31E+00,3.62E+01,1.97E-05,4.58E+00,3.62E+01,1.97E-05,4.27E+00
,,4.76E+01,6.60E-06,1.35E+00,3.27E+01,4.62E-05,1.25E+00,3.37E+01,3.92E-02,1.20E+00,3.39E+01,3.93E-02,1.26E+00,3.39E+01,3.93E-02,1.21E+00
,,4.76e+01,6.60e-06,1.35e+00,3.27e+01,4.62e-05,1.25e+00,3.37e+01,3.92e-02,1.20e+00,3.39e+01,3.93e-02,1.26e+00,3.39e+01,3.93e-02,1.21e+00
