poly,2560,0.1,0.01,scale,5,1.00E-05,1073.78,1319.73,1090.18,1339.58,25.8633,19.74,25.9864,20.0019
poly,2560,0.1,0.01,scale,5,0.1,51.6227,0.591967,51.9137,2.55931,6.322,0.0853379,6.32095,0.21532
poly,2560,0.1,0.01,scale,5,0.001,2251.87,3464.44,2261.83,3469.07,35.197,31.3527,35.2753,31.4001
poly,2560,0.1,0.01,scale,5,1.00E-07,53.3024,25.1789,55.5299,26.567,6.23539,1.87949,6.37353,1.91772
poly,2560,0.001,0.01,scale,5,0.001,41.6802,19.7405,42.9123,20.3644,5.2817,2.05091,5.36252,2.03288
poly,2560,0.001,0.01,scale,5,0.1,31.7505,24.1148,32.0322,24.1565,4.29096,2.5219,4.3377,2.46197
poly,2560,0.001,0.01,scale,5,1.00E-07,41.9112,19.8327,42.6177,19.9914,5.20349,1.99148,5.30291,1.97172
poly,2560,0.001,0.01,scale,5,1.00E-05,51.8624,0.797367,51.9684,2.44638,6.29613,0.131786,6.28274,0.16896
poly,2560,1.00E-05,0.01,scale,5,1.00E-05,51.5705,0.559059,52.4314,2.43102,6.20846,0.0401308,6.26171,0.197761
poly,2560,1.00E-05,0.01,scale,5,0.1,41.6469,19.7114,43.5617,20.557,5.28298,2.03793,5.41199,2.06643
poly,2560,1.00E-05,0.01,scale,5,0.001,51.6737,0.633019,52.8332,2.27236,6.32279,0.0880139,6.40359,0.138294
poly,2560,1.00E-05,0.01,scale,5,1.00E-07,51.6527,0.665237,52.504,1.8498,6.28374,0.131587,6.34684,0.091423
poly,2560,1.00E-07,0.01,scale,5,0.1,31.8732,24.2374,32.5132,24.2653,4.18842,2.44038,4.26432,2.37533
poly,2560,1.00E-07,0.01,scale,5,0.001,51.603,0.671938,51.5917,1.97877,6.28215,0.130742,6.26256,0.156453
poly,2560,1.00E-07,0.01,scale,5,1.00E-05,51.6691,0.633588,52.8287,2.26977,6.32258,0.088147,6.40342,0.138084
poly,2560,1.00E-07,0.01,scale,5,1.00E-07,51.5596,0.570595,51.7421,2.61601,6.28519,0.0668851,6.29973,0.184035
